image,text
data/raw/newspaper/news001.png,روزنامہ جنگ راولپنڈی۔ کسی جہاز کو نقصان پہنچایا تو وادی کی منجمد اثاثوں سے کی گئی، ایران کو ہتھیار بھیجے تو بہت مہنگا پڑے گا: ٹرمپ۔ دہشت گردی کے پیچھے بھارت کا ہاتھ، وسائل بھی مہیا کر رہا ہے، افغان سرزمین پاکستان کے خلاف استعمال کر رہے ہیں: وزیر اعظم۔ خودکش حملہ: 15 ملک کے شاندار شہید، 12 دہشت گرد ہلاک۔ ٹینک میں دھماکہ خیز مواد سے بھری گاڑی چیک پوسٹ سے ٹکرا دی، فورسز کی بروقت جوابی کارروائی۔
data/raw/newspaper/news002.png,ایران میں مہنگائی کے خلاف احتجاج شدت اختیار کر گیا، انٹرنیٹ سروس بند، پروازیں منسوخ۔ مظاہروں کے دوران 34 مظاہرین اور 4 سیکیورٹی اہلکار جان بحق، دو ہزار سے زائد افراد گرفتار۔ افغان طالبان کی واپسی کے بعد پاکستان سب سے زیادہ دہشت گردی سے متاثر ملک قرار۔
data/raw/newspaper/news003.png,ایران میں بے امنی، پاکستانی شہریوں کو غیر ضروری سفر سے گریز کی ہدایت۔ دفتر خارجہ نے ایران میں مقیم پاکستانیوں کو احتیاط برتنے کی ہدایت کی۔ امریکا بھارت تجارتی معاہدہ ملتوی ہونے کی وجہ مودی کا ٹرمپ کو کال نہ کرنا تھا۔
data/raw/newspaper/news004.png,بنگلہ دیش اور پاکستان کے درمیان 14 سال بعد براہ راست پروازیں بحال، شیڈول جاری۔ ایران میں احتجاج کا 12 واں روز، مظاہرے کے دوران پولیس افسر جان بحق۔
data/raw/newspaper/news005.png,پاکستان اور سعودی عرب کے درمیان دفاعی تعاون مزید مضبوط بنانے پر اتفاق۔ ایئر چیف مارشل ظہیر احمد بابر سدھو کی سعودی عسکری قیادت سے ملاقات۔ امریکا میں امیگریشن افسر کی فائرنگ سے خاتون ہلاک، بڑے پیمانے پر احتجاج۔
data/raw/newspaper/news006.png,ترجمان کے الیکٹرک کا کہنا ہے کہ بارش کے دوران شہر میں کے الیکٹرک کا ترسیلی نظام مجموعی طور پر مستحکم رہا۔ تقریباً 90 فیصد فیڈرز سے بجلی کی فراہمی بلا تعطل جاری رہی۔
data/raw/newspaper/news007.png,ٹرمپ نے پاکستان، چین، بھارت سمیت 60 ممالک پر نئے ٹیرف نافذ کر دیے۔ آزاد کشمیر اور بھارتی مقبوضہ کشمیر کی صورتحال میں واضح فرق ہے۔ ایران حملہ اور نئے ٹیرف امریکی معیشت کیلئے خطرہ۔
data/raw/newspaper/news008.png,اسلام آباد ہائی کورٹ نے متنازع ٹوئٹس کیس میں ایمان مزاری اور ہادی چٹھہ کی سزا معطلی کی درخواستوں کو قابل سماعت قرار دے دیا۔
data/raw/newspaper/news009.png,سندھ کے مختلف اضلاع میں آج سے 27 جولائی تک وقفے وقفے سے بارش کا امکان ہے۔ محکمہ موسمیات کے مطابق کراچی میں آئندہ تین روز بارش اور بوندا باندی متوقع ہے۔
data/raw/newspaper/news010.png,امیر جماعت اسلامی کراچی منعم ظفر خان کا کہنا ہے کہ گزشتہ روز بارش کے پہلے قطرے کے ساتھ ہی 200 فیڈرز ٹرپ کر گئے۔ سندھ حکومت اور کے الیکٹرک پر شدید تنقید۔
data/raw/newspaper/news011.png,ٹک ٹاک کا پاکستان میں چھوٹے کاروبار کیلئے سیلف سروس ایڈورٹائزنگ پلیٹ فارم متعارف۔ پاکستانی یوٹیوب مواد کے مجموعی واچ ٹائم میں 60 فیصد بیرون ملک ناظرین کا حصہ۔
data/raw/newspaper/news012.png,ٹوائلٹ میں تصاویر کھینچنے کیلئے بنائے گئے کیمرے کے ڈیٹا تک دوسروں کو رسائی کا انکشاف۔ یوٹیوب کا نیا ری کیپ فیچر، صارفین اب سال بھر دیکھی گئی ویڈیوز کا خلاصہ دیکھ سکیں گے۔
data/raw/newspaper/news013.png,پاکستانی مسافروں کیلئے بڑی خبر، یو اے ای پہنچنے پر طویل امیگریشن کارروائی سے چھٹکارا۔ بھارت کا آٹھ ماہ میں دوسرا خلائی مشن ناکام۔
data/raw/newspaper/news014.png,حملے کی صورت میں ایران کی اسرائیل اور امریکی اڈوں کو نشانہ بنانے کی دھمکی۔ ایرانی عوام آزادی چاہتے ہیں، امریکا ان کی مدد کیلئے تیار ہے، ڈونلڈ ٹرمپ۔
data/raw/newspaper/news015.png,ترکیہ پاکستان اور سعودی عرب کے باہمی دفاعی معاہدے میں شمولیت کا خواہاں، نیا سیکورٹی اتحاد متوقع۔ بنگلہ دیش نے بھارت میں اپنے سفارتی مشنز کے ویزا سیکشن بند کر دیے۔
data/raw/newspaper/news016.png,بنگلہ دیش نے آئی پی ایل کی نشریات پر پابندی لگا دی۔ غلامی کے دن ختم، بنگلہ دیش کا اپنے ورلڈ کپ میچز بھارت سے منتقل کروانے کا عندیہ۔
data/raw/newspaper/news017.png,دو روز میں ٹیسٹ میچ ختم، آئی سی سی نے میلبورن کرکٹ گراؤنڈ کی پچ ناقص قرار دے دی۔ تمیز کے دائرے میں رہنا، سرفراز احمد کا جملہ ایشیا کپ کی فتح سے زیادہ وائرل۔
data/raw/newspaper/news018.png,بھارتی کھلاڑیوں کے رویے مناسب نہیں تھے، سرفراز احمد۔ پاکستان نے فیورٹ بھارت کو باآسانی چت کرکے انڈر 19 ایشیا کپ جیت لیا۔
data/raw/newspaper/news019.png,میسی کی آمد پر کولکتہ اسٹیڈیم میں شدید بدنظمی، توڑ پھوڑ، واقعے کی تحقیقات کیلئے کمیٹی تشکیل۔ جنت نظیر وادی آزاد کشمیر میں پی ایس ایل کا میدان سجنے کو تیار۔
data/raw/newspaper/news020.png,حکومت کا گیس مہنگی کرنے کے بجائے پیٹرولیم لیوی مزید بڑھانے کا منصوبہ۔ اسٹاک ایکسچینج میں نئی تاریخ رقم، ایک لاکھ 79 ہزار کی بلند سطح بھی عبور۔
data/raw/books/books001.png,نہ لا تعلق رہو، نہ توقعات پال لو
data/raw/books/books002.png,عبداللہ
data/raw/books/books003.png,اردو ناولوں کا مجموعہ
data/raw/books/books004.png,الحاصل
data/raw/books/books005.png,تم مجھے یاد آؤ گے
data/raw/books/books006.png,محبت انسان کو بدل دیتی ہے
data/raw/books/books007.png,حاصل
data/raw/books/books008.png,راز، زندگی، سکون
data/raw/books/books009.png,واہ انسان، یہ تیرا امتحان ہے
data/raw/books/books010.png,عبداللہ
data/raw/books/books011.png,رمان دل
data/raw/books/books012.png,چہرہ
data/raw/books/books013.png,موجودہ
data/raw/books/books014.png,راز پنہاں
data/raw/books/books015.png,چاند کی تلاش انسان نے نہیں روکی
data/raw/books/books016.png,زندگی کو دوسروں سے مت ناپو
